"Adjective","Noun","a","b","c","d"
"trojan","horse",37,73,12198,98351475
"rocking","horse",34,168,12201,98351380
"new","horse",21,113540,12214,98238008
"galloping","horse",17,110,12218,98351438
"silly","ass",9,2630,340,98360804
"prancing","horse",6,17,12229,98351531
"pompous","ass",5,250,344,98363184
"common","zebra",4,18965,253,98344561
"old","donkey",3,52433,643,98310704
"old","mule",3,52433,316,98311031
"young","zebra",2,30210,255,98333316
"old","ass",2,52434,347,98311000
"female","hinny",2,6620,17,98357144
"braying","donkey",2,9,644,98363128
"monocled","ass",1,5,348,98363429
"large","mule",1,34228,318,98329236
"jumpedup","jackass",1,21,7,98363754
"extinct","quagga",1,428,4,98363350
"dumbfuck","donkey",1,0,645,98363137
"caparisoned","mule",1,8,318,98363456