"Word","Suffix","Stem","StemLength","Frequency"
"academic","ic","academ",6,38
"acetic","ic","acet",4,1
"acoustic","ic","acoust",6,2
"acrobatic","ic","acrobat",7,1
"aerodynamic","ic","aerodynam",9,1
"aesthetic","ic","aesthet",7,43
"alcoholic","ic","alcohol",7,6
"aldermanic","ic","alderman",8,5
"algebraic","ic","algebra",7,1
"allergic","ic","allerg",6,3
"altruistic","ic","altruist",8,1
"amoebic","ic","amoeb",5,1
"anaesthetic","ic","anaesthet",9,1
"analgesic","ic","analges",7,1
"anarchic","ic","anarch",6,2
"angelic","ic","angel",5,1
"anionic","ic","anion",5,2
"antigenic","ic","antigen",7,1
"antihaemophilic","ic","antihaemophil",13,1
"antiseptic","ic","antisept",8,1
"apathetic","ic","apathet",7,3
"apocalyptic","ic","apocalypt",9,1
"apologetic","ic","apologet",8,5
"apostolic","ic","apostol",7,2
"aquatic","ic","aquat",5,2
"archaic","ic","archa",5,2
"architectonic","ic","architecton",11,1
"arctic","ic","arct",4,1
"aristocratic","ic","aristocrat",10,4
"aromatic","ic","aromat",6,2
"artistic","ic","artist",6,29
"asthenic","ic","asthen",6,1
"asymmetric","ic","asymmetr",8,1
"asymptotic","ic","asymptot",8,5
"athletic","ic","athlet",6,5
"atmospheric","ic","atmospher",9,5
"atomic","ic","atom",4,33
"authentic","ic","authent",7,7
"autocratic","ic","autocrat",8,2
"automatic","ic","automat",7,21
"axiomatic","ic","axiomat",7,1
"ballistic","ic","ballist",7,1
"barbaric","ic","barbar",6,4
"bardic","ic","bard",4,2
"barometric","ic","barometr",8,1
"basic","ic","bas",3,81
"bimetallic","ic","bimetall",8,1
"botanic","ic","botan",5,1
"bucolic","ic","bucol",5,1
"bureaucratic","ic","bureaucrat",10,3
"cabalistic","ic","cabalist",8,1
"carbolic","ic","carbol",6,1
"catalytic","ic","catalyt",7,1
"catastrophic","ic","catastroph",10,1
"cathodic","ic","cathod",6,2
"catholic","ic","cathol",6,38
"caustic","ic","caust",5,4
"ceramic","ic","ceram",5,7
"chaotic","ic","chaot",5,4
"characteristic","ic","characterist",12,27
"cherubic","ic","cherub",6,1
"choreographic","ic","choreograph",11,1
"chromatic","ic","chromat",7,1
"chronic","ic","chron",5,12
"cinematic","ic","cinemat",7,5
"civic","ic","civ",3,12
"classic","ic","class",5,17
"claustrophobic","ic","claustrophob",12,2
"climatic","ic","climat",6,1
"comic","ic","com",3,14
"concentric","ic","concentr",8,3
"corybantic","ic","corybant",8,1
"cosmic","ic","cosm",4,5
"cryptic","ic","crypt",5,1
"crystallographic","ic","crystallograph",14,1
"cubic","ic","cub",3,9
"cyclic","ic","cycl",4,4
"cyclonic","ic","cyclon",6,1
"cystic","ic","cyst",4,1
"delphic","ic","delph",5,1
"democratic","ic","democrat",8,52
"demographic","ic","demograph",9,1
"demonic","ic","demon",5,1
"deterministic","ic","determinist",11,2
"diabetic","ic","diabet",6,11
"dielectric","ic","dielectr",8,1
"dietetic","ic","dietet",6,2
"diplomatic","ic","diplomat",8,17
"dogmatic","ic","dogmat",6,2
"domestic","ic","domest",6,51
"dramatic","ic","dramat",6,49
"drastic","ic","drast",5,18
"dualistic","ic","dualist",7,1
"dynamic","ic","dynam",5,10
"dynastic","ic","dynast",6,3
"eccentric","ic","eccentr",7,10
"eclectic","ic","eclect",6,1
"economic","ic","econom",6,173
"egocentric","ic","egocentr",8,1
"egoistic","ic","egoist",6,1
"elastic","ic","elast",5,20
"electric","ic","electr",6,34
"electro-magnetic","ic","electromagnet",13,1
"electrographic","ic","electrograph",12,1
"electrolytic","ic","electrolyt",10,1
"electromagnetic","ic","electromagnet",13,2
"electronic","ic","electron",8,18
"electrostatic","ic","electrostat",11,1
"elliptic","ic","ellipt",6,2
"emphatic","ic","emphat",6,5
"endemic","ic","endem",5,1
"endocentric","ic","endocentr",9,2
"energetic","ic","energet",7,12
"enigmatic","ic","enigmat",7,1
"enteric","ic","enter",5,1
"enthusiastic","ic","enthusiast",10,21
"epic","ic","ep",2,2
"epigonic","ic","epigon",6,1
"erotic","ic","erot",4,5
"erratic","ic","errat",5,2
"esoteric","ic","esoter",6,2
"eulogistic","ic","eulogist",8,1
"evangelistic","ic","evangelist",10,2
"exocentric","ic","exocentr",8,1
"exotic","ic","exot",4,5
"fantastic","ic","fantast",7,12
"fatalistic","ic","fatalist",8,1
"ferric","ic","ferr",4,1
"ferromagnetic","ic","ferromagnet",11,4
"forensic","ic","forens",6,3
"frantic","ic","frant",5,5
"function-theoretic","ic","functiontheoret",15,3
"galvanic","ic","galvan",6,4
"gastric","ic","gastr",5,2
"gastronomic","ic","gastronom",9,2
"generic","ic","gener",5,1
"genetic","ic","genet",5,22
"geocentric","ic","geocentr",8,1
"geometric","ic","geometr",7,4
"geostrophic","ic","geostroph",9,3
"geotactic","ic","geotact",7,1
"gigantic","ic","gigant",6,14
"glottic","ic","glott",5,4
"gnomic","ic","gnom",4,2
"gothic","ic","goth",4,1
"graphic","ic","graph",5,6
"gravimetric","ic","gravimetr",9,5
"haemolytic","ic","haemolyt",8,3
"haemophilic","ic","haemophil",9,1
"haemorrhagic","ic","haemorrhag",10,2
"hectic","ic","hect",4,6
"heraldic","ic","herald",6,1
"heroic","ic","hero",4,10
"heuristic","ic","heurist",7,1
"hieroglyphic","ic","hieroglyph",10,2
"historic","ic","histor",6,27
"histrionic","ic","histrion",8,1
"homoeopathic","ic","homoeopath",10,1
"homonymic","ic","homonym",7,1
"horrific","ic","horrif",6,1
"humanistic","ic","humanist",8,1
"hydraulic","ic","hydraul",7,13
"hydrochloric","ic","hydrochlor",10,8
"hydrofluoric","ic","hydrofluor",10,1
"hygienic","ic","hygien",6,1
"hyperbolic","ic","hyperbol",8,4
"hypereutectic","ic","hypereutect",11,2
"hypnotic","ic","hypnot",6,8
"hypodermic","ic","hypoderm",8,2
"idealistic","ic","idealist",8,2
"idiosyncratic","ic","idiosyncrat",11,2
"idyllic","ic","idyll",5,3
"inorganic","ic","inorgan",7,4
"intrinsic","ic","intrins",7,6
"ionic","ic","ion",3,6
"ironic","ic","iron",4,1
"isotopic","ic","isotop",6,1
"italic","ic","ital",4,1
"journalistic","ic","journalist",10,5
"kinaesthetic","ic","kinaesthet",10,1
"kinematic","ic","kinemat",7,5
"kinetic","ic","kinet",5,5
"laconic","ic","lacon",5,2
"legalistic","ic","legalist",8,1
"lethargic","ic","letharg",7,1
"linguistic","ic","linguist",8,15
"logarithmic","ic","logarithm",9,3
"lunatic","ic","lunat",5,5
"lyric","ic","lyr",3,1
"macroscopic","ic","macroscop",9,1
"magic","ic","mag",3,8
"magnetic","ic","magnet",6,14
"majestic","ic","majest",6,4
"materialistic","ic","materialist",11,1
"mechanistic","ic","mechanist",9,1
"megalithic","ic","megalith",8,1
"melodic","ic","melod",5,6
"melodramatic","ic","melodramat",10,5
"meritocratic","ic","meritocrat",10,1
"meromorphic","ic","meromorph",9,1
"messianic","ic","messian",7,6
"metallic","ic","metall",6,6
"metallographic","ic","metallograph",12,1
"microscopic","ic","microscop",9,6
"modernistic","ic","modernist",9,1
"monastic","ic","monast",6,1
"monolithic","ic","monolith",8,6
"monosyllabic","ic","monosyllab",10,1
"monotechnic","ic","monotechn",9,1
"morphemic","ic","morphem",7,1
"mosaic","ic","mosa",4,3
"motivic","ic","motiv",5,2
"myopic","ic","myop",4,1
"mystic","ic","myst",4,5
"mythic","ic","myth",4,2
"narcotic","ic","narcot",6,3
"nationalistic","ic","nationalist",11,1
"naturalistic","ic","naturalist",10,2
"naturally-characteristic","ic","naturallycharacterist",21,1
"neolithic","ic","neolith",7,1
"neurasthenic","ic","neurasthen",10,1
"neurotic","ic","neurot",6,4
"nicotinic","ic","nicotin",7,1
"nihilistic","ic","nihilist",8,1
"niobic","ic","niob",4,3
"nitric","ic","nitr",4,7
"nomadic","ic","nomad",5,1
"non-alcoholic","ic","nonalcohol",10,1
"non-catholic","ic","noncathol",9,1
"non-diastematic","ic","nondiastemat",12,1
"non-dogmatic","ic","nondogmat",9,1
"non-dramatic","ic","nondramat",9,1
"non-parametric","ic","nonparametr",11,1
"non-pornographic","ic","nonpornograph",13,1
"non-stoichiometric","ic","nonstoichiometr",15,1
"nostalgic","ic","nostalg",7,3
"novelistic","ic","novelist",8,1
"nucleonic","ic","nucleon",7,3
"numeric","ic","numer",5,1
"oceanic","ic","ocean",5,2
"ontogenetic","ic","ontogenet",9,1
"oolitic","ic","oolit",5,1
"operatic","ic","operat",6,6
"optimistic","ic","optimist",8,5
"organic","ic","organ",5,31
"orthographic","ic","orthograph",10,1
"orthopaedic","ic","orthopaed",9,4
"over-drastic","ic","overdrast",9,1
"oxalic","ic","oxal",4,1
"pacific","ic","pacif",5,2
"panoramic","ic","panoram",7,1
"parabolic","ic","parabol",7,3
"paralytic","ic","paralyt",7,1
"paramagnetic","ic","paramagnet",10,1
"parasitic","ic","parasit",7,1
"part-apologetic","ic","partapologet",12,1
"pathetic","ic","pathet",6,10
"patriotic","ic","patriot",7,9
"pedantic","ic","pedant",6,1
"pentatonic","ic","pentaton",8,1
"periodic","ic","period",6,6
"pessimistic","ic","pessimist",9,4
"phallic","ic","phall",5,1
"philanthropic","ic","philanthrop",11,2
"philatelic","ic","philatel",8,2
"philharmonic","ic","philharmon",10,3
"philosophic","ic","philosoph",9,1
"phonetic","ic","phonet",6,2
"phosphoric","ic","phosphor",8,1
"photic","ic","phot",4,1
"photographic","ic","photograph",10,4
"phototactic","ic","phototact",9,2
"phylogenetic","ic","phylogenet",10,1
"platonic","ic","platon",6,1
"plutocratic","ic","plutocrat",9,1
"pneumatic","ic","pneumat",7,9
"podzolic","ic","podzol",6,5
"poetic","ic","poet",4,19
"politic","ic","polit",5,3
"politico-economic","ic","politicoeconom",14,1
"polyphonic","ic","polyphon",8,1
"polysyllabic","ic","polysyllab",10,1
"pornographic","ic","pornograph",10,11
"positivistic","ic","positivist",10,4
"potassic","ic","potass",6,2
"potentiometric","ic","potentiometr",12,1
"pragmatic","ic","pragmat",7,3
"prehistoric","ic","prehistor",9,4
"probabilistic","ic","probabilist",11,3
"programmatic","ic","programmat",10,1
"prolific","ic","prolif",6,4
"prophetic","ic","prophet",7,4
"prophylactic","ic","prophylact",10,1
"prosaic","ic","prosa",5,3
"pseudo-scientific","ic","pseudoscientif",14,1
"pseudomorphic","ic","pseudomorph",11,1
"psychiatric","ic","psychiatr",9,2
"psychic","ic","psych",5,6
"public","ic","publ",4,237
"quadratic","ic","quadrat",7,1
"quasi-acrobatic","ic","quasiacrobat",12,1
"quixotic","ic","quixot",6,1
"realistic","ic","realist",7,21
"rhythmic","ic","rhythm",6,7
"ritualistic","ic","ritualist",9,1
"romantic","ic","romant",6,35
"rustic","ic","rust",4,2
"sadistic","ic","sadist",6,1
"sarcastic","ic","sarcast",7,2
"sardonic","ic","sardon",6,5
"scenic","ic","scen",4,1
"schematic","ic","schemat",7,1
"scholastic","ic","scholast",8,4
"scientific","ic","scientif",8,80
"semantic","ic","semant",6,6
"semi-logarithmic","ic","semilogarithm",13,1
"socialistic","ic","socialist",9,1
"spasmodic","ic","spasmod",7,4
"spastic","ic","spast",5,1
"specific","ic","specif",6,40
"spectrographic","ic","spectrograph",12,1
"sporadic","ic","sporad",6,2
"static","ic","stat",4,14
"stochastic","ic","stochast",8,1
"strategic","ic","strateg",7,9
"stylistic","ic","stylist",7,2
"sub-atomic","ic","subatom",7,1
"sulphuric","ic","sulphur",7,2
"supersonic","ic","superson",8,1
"sycophantic","ic","sycophant",9,1
"syllabic","ic","syllab",6,6
"syllogistic","ic","syllogist",9,1
"symbolic","ic","symbol",6,7
"sympathetic","ic","sympathet",9,14
"symphonic","ic","symphon",7,3
"symptomatic","ic","symptomat",9,1
"synaptic","ic","synapt",6,1
"synoptic","ic","synopt",6,3
"syntactic","ic","syntact",7,8
"syntagmatic","ic","syntagmat",9,1
"synthetic","ic","synthet",7,4
"systematic","ic","systemat",8,17
"tannic","ic","tann",4,3
"tectonic","ic","tecton",6,1
"telegenic","ic","telegen",7,1
"telegraphic","ic","telegraph",9,4
"telepathic","ic","telepath",8,1
"telephonic","ic","telephon",8,1
"telescopic","ic","telescop",8,3
"terrific","ic","terrif",6,10
"tetra-acetic","ic","tetraacet",9,1
"theistic","ic","theist",6,2
"thematic","ic","themat",6,2
"theocratic","ic","theocrat",8,1
"therapeutic","ic","therapeut",9,4
"thermodynamic","ic","thermodynam",11,2
"thermoelectric","ic","thermoelectr",12,1
"thermometric","ic","thermometr",10,1
"tonic","ic","ton",3,1
"toxic","ic","tox",3,1
"tragic","ic","trag",4,18
"trans-economic","ic","transeconom",11,1
"traumatic","ic","traumat",7,1
"ultrasonic","ic","ultrason",8,2
"unaesthetic","ic","unaesthet",9,1
"uncharacteristic","ic","uncharacterist",14,1
"undogmatic","ic","undogmat",8,1
"undramatic","ic","undramat",8,1
"uneconomic","ic","uneconom",8,2
"unpatriotic","ic","unpatriot",9,1
"unrealistic","ic","unrealist",9,4
"unscientific","ic","unscientif",10,2
"unsympathetic","ic","unsympathet",11,3
"volcanic","ic","volcan",6,3
"volumetric","ic","volumetr",8,1
"a-political","ical","apolit",6,1
"acoustical","ical","acoust",6,1
"aeronautical","ical","aeronaut",8,2
"aetiological","ical","aetiolog",8,1
"allegorical","ical","allegor",7,1
"alphabetical","ical","alphabet",8,1
"analytical","ical","analyt",6,10
"anatomical","ical","anatom",6,5
"anthropological","ical","anthropolog",11,1
"anti-clerical","ical","anticler",8,1
"archaeological","ical","archaeolog",10,5
"arithmetical","ical","arithmet",8,1
"astronomical","ical","astronom",8,1
"atypical","ical","atyp",4,3
"autobiographical","ical","autobiograph",12,2
"biblical","ical","bibl",4,8
"biochemical","ical","biochem",7,1
"biographical","ical","biograph",8,6
"biological","ical","biolog",6,10
"categorical","ical","categor",7,1
"cervical","ical","cerv",4,1
"chemical","ical","chem",4,38
"chronological","ical","chronolog",9,4
"classical","ical","class",5,57
"clerical","ical","cler",4,27
"clinical","ical","clin",4,7
"comical","ical","com",3,2
"conical","ical","con",3,2
"cosmological","ical","cosmolog",8,1
"critical","ical","crit",4,43
"cyclical","ical","cycl",4,1
"cylindrical","ical","cylindr",7,6
"cynical","ical","cyn",3,11
"diabolical","ical","diabol",6,1
"dialectical","ical","dialect",7,4
"ecclesiastical","ical","ecclesiast",10,12
"economical","ical","econom",6,7
"ecumenical","ical","ecumen",6,3
"egotistical","ical","egotist",7,1
"electrical","ical","electr",6,49
"elliptical","ical","ellipt",6,2
"empirical","ical","empir",5,12
"entomological","ical","entomolog",9,1
"eschatological","ical","eschatolog",10,2
"ethical","ical","eth",3,6
"etymological","ical","etymolog",8,2
"evangelical","ical","evangel",7,5
"fanatical","ical","fanat",5,5
"genealogical","ical","genealog",8,4
"geographical","ical","geograph",8,7
"geological","ical","geolog",6,7
"geometrical","ical","geometr",7,8
"grammatical","ical","grammat",7,19
"graphical","ical","graph",5,2
"haematological","ical","haematolog",10,2
"historical","ical","histor",6,40
"hypocritical","ical","hypocrit",8,2
"hypothetical","ical","hypothet",8,8
"hysterical","ical","hyster",6,12
"iconographical","ical","iconograph",10,1
"identical","ical","ident",5,26
"ideological","ical","ideolog",7,12
"inimical","ical","inim",4,1
"ironical","ical","iron",4,3
"juridical","ical","jurid",5,1
"lexical","ical","lex",3,5
"liturgical","ical","liturg",6,6
"lyrical","ical","lyr",3,4
"magical","ical","mag",3,9
"mathematical","ical","mathemat",8,12
"mechanical","ical","mechan",6,35
"medical","ical","med",3,112
"metallurgical","ical","metallurg",9,1
"metaphorical","ical","metaphor",8,2
"metaphysical","ical","metaphys",8,3
"meteorological","ical","meteorolog",10,5
"methodical","ical","method",6,3
"methodological","ical","methodolog",10,3
"metrical","ical","metr",4,1
"monarchical","ical","monarch",7,1
"morphological","ical","morpholog",9,5
"mycological","ical","mycolog",7,1
"mystical","ical","myst",4,2
"mythical","ical","myth",4,2
"non-technical","ical","nontechn",8,1
"nonsensical","ical","nonsens",7,2
"numerical","ical","numer",5,15
"obstetrical","ical","obstetr",7,1
"optical","ical","opt",3,6
"oratorical","ical","orator",6,1
"palaeontological","ical","palaeontolog",12,2
"paradisical","ical","paradis",7,1
"paradoxical","ical","paradox",7,6
"pathological","ical","patholog",8,5
"pedagogical","ical","pedagog",7,1
"pedological","ical","pedolog",7,1
"pharmaceutical","ical","pharmaceut",10,6
"pharmacological","ical","pharmacolog",11,1
"philosophical","ical","philosoph",9,9
"photochemical","ical","photochem",9,1
"physical","ical","phys",4,111
"physiographical","ical","physiograph",11,1
"physiological","ical","physiolog",9,16
"poetical","ical","poet",4,3
"political","ical","polit",5,238
"pre-classical","ical","preclass",8,1
"psychological","ical","psycholog",9,29
"puranitical","ical","puranit",7,1
"purinatical","ical","purinat",7,1
"puritanical","ical","puritan",7,2
"quasi-classical","ical","quasiclass",10,5
"radiochemical","ical","radiochem",9,6
"radiological","ical","radiolog",8,1
"rhetorical","ical","rhetor",6,3
"satirical","ical","satir",5,3
"sceptical","ical","scept",5,6
"schismatical","ical","schismat",8,1
"self-critical","ical","selfcrit",8,1
"serological","ical","serolog",7,1
"sociological","ical","sociolog",8,3
"spherical","ical","spher",5,3
"statistical","ical","statist",7,38
"sub-tropical","ical","subtrop",7,1
"subtropical","ical","subtrop",7,1
"surgical","ical","surg",4,7
"symbolical","ical","symbol",6,3
"symmetrical","ical","symmetr",7,4
"synagogical","ical","synagog",7,1
"systematical","ical","systemat",8,1
"tactical","ical","tact",4,3
"technical","ical","techn",5,120
"technological","ical","technolog",9,11
"theatrical","ical","theatr",6,18
"theological","ical","theolog",7,11
"theorematical","ical","theoremat",9,1
"theoretical","ical","theoret",7,38
"topical","ical","top",3,3
"toxicological","ical","toxicolog",9,1
"trigonometrical","ical","trigonometr",11,1
"tropical","ical","trop",4,8
"typical","ical","typ",3,45
"unbiblical","ical","unbibl",6,1
"uncritical","ical","uncrit",6,2
"uneconomical","ical","uneconom",8,1
"unethical","ical","uneth",5,1
"unmusical","ical","unmus",5,1
"unpractical","ical","unpract",7,1
"unrhythmical","ical","unrhythm",8,1
"unsymmetrical","ical","unsymmetr",9,1
"untheological","ical","untheolog",9,1
"untypical","ical","untyp",5,1
"vertical","ical","vert",4,40
"whimsical","ical","whims",5,1
